index,descriptors,relative_frequency
"Pinot Noir, Napa Valley, North Coast, California, USA",earth,0.11
"Viognier, Columbia Valley, Washington, USA",fruit,0.12
"Chardonnay, New South Wales, Australia",oak,0.11
"Bordeaux-style Red Blend, Entre-Deux-Mers, Bordeaux",ripe,0.23
"Chardonnay, Beaujolais, France",fruit,0.28
"Pinot Noir, Tasmania, Australia",cherry,0.16
"Red Blends, Red Blends, Columbia Valley, Washington, USA",fruit,0.21
"Garganega, Italian White, Veneto, Northeast Italy, Italy",fruit,0.14
"Riesling, Santa Barbara, Central Coast, California, USA",lime,0.18
"Chardonnay, Paso Robles, Central Coast, California, USA",pear,0.12
"Riesling, Ontario, Canada",apple,0.13
"Chardonnay, Coastal Region, South Africa",ripe,0.14
"Pinot Noir, Niederosterreich, Austria",cherry,0.17
"Chardonnay, Maconnais, Burgundy, France",ripe,0.25
"Tempranillo, Mendoza, Argentina",rubber,0.11
"Petite Sirah, Sierra Foothills, California, USA",fruit,0.14
"White Blend, Umbria, Central Italy, Italy",flower,0.15
"Nero dAvola, Italian Red, Sicily, Southern Italy, Italy",ripe,0.18
"Merlot, Paso Robles, Central Coast, California, USA",cherry,0.22
"Syrah, Mendoza, Argentina",fruit,0.07
"Bordeaux-style Red Blend, Bourg & Blaye, Bordeaux, France",fruit,0.25
"Nebbiolo, Lombardy, Northwest Italy, Italy",berry,0.09
"Sangiovese, Emilia-Romagna, Northeast Italy, Italy",blackberry,0.36
"Red Blends, Red Blends, Coteaux de Languedoc, Languedoc-Roussillon, France",fruit,0.25
"Chardonnay, Marlborough, New Zealand",toast,0.12
"Cabernet Sauvignon, Santa Barbara, Central Coast, California, USA",cherry,0.19
"Grenache, Castilla-La Mancha, Central Spain, Spain",mint,0.08
"White Blend, Galicia, Northwest Spain, Spain",flower,0.07
"Zinfandel, Paso Robles, Central Coast, California, USA",cherry,0.10
"Bordeaux-style Red Blend, Sonoma Valley, North Coast, California, USA",oak,0.09
"Syrah, Western Australia, Australia",pepper,0.08
"Cabernet Sauvignon, Mendocino, North Coast, California, USA",fruit,0.21
"Syrah, Southern Oregon, Oregon, USA",fruit,0.13
"Sauvignon Blanc, Burgenland, Austria",ripe,0.21
"Merlot, Santa Barbara, Central Coast, California, USA",cherry,0.10
"Zinfandel, Columbia Valley, Washington, USA",raspberry,0.12
"Chardonnay, Cote de Beaune, Burgundy, France",ripe,0.24
"White Blend, Southern Greece, Greece",flower,0.25
"White Blend, Pais Vasco, Northwest Spain, Spain",apple,0.19
"Turbiana, Italian White, Lombardy, Northwest Italy, Italy",flower,0.15
"Bordeaux-style Red Blend, Libournais, Bordeaux, France",oak,0.34
"Chardonnay, Cape South Coast, South Africa",ripe,0.13
"Sauvignon Blanc, Columbia Valley, Washington, USA",fruit,0.11
"Tempranillo, Navarra, Northeast Spain, Spain",cherry,0.10
"Zinfandel, Sonoma Valley, North Coast, California, USA",fruit,0.10
"Austrian white blend, White Blend, Niederosterreich, Austria",ripe,0.27
"Syrah, Cachapoal Valley, Central Valley, Chile",ripe,0.10
"Riesling, Canterbury and Waipara, New Zealand",ripe,0.16
"Red Blends, Red Blends, Cachapoal Valley, Central Valley, Chile",ripe,0.10
"Pinot Noir, Santa Barbara, Central Coast, California, USA",cherry,0.16
"Cabernet Sauvignon, Clear Lake, North Coast, California",fruit,0.12
"Red Blends, Red Blends, Tuscany, Central Italy, Italy",fruit,0.08
"Sagrantino, Italian Red, Umbria, Central Italy, Italy",plum,0.11
"Tempranillo, Inland Valleys, California, USA",spice,0.16
"Red Blends, Red Blends, Southern Greece, Greece",cherry,0.17
"Chardonnay, Curico Valley, Central Valley, Chile",melon,0.07
"Bordeaux-style White Blend, White Blend, Graves, Bordeaux, France",fruit,0.14
"Syrah, Inland Valleys, California, USA",fruit,0.10
"Malbec, Mendoza, Argentina",ripe,0.06
"Chardonnay, Sonoma Valley, North Coast, California, USA",apple,0.08
"Syrah, Columbia Valley, Oregon, USA",spice,0.08
"White Blend, Veneto, Northeast Italy, Italy",ripe,0.08
"Chardonnay, Friuli-Venezia Giulia, Northeast Italy, Italy",fruit,0.08
"Pinot Noir, South Australia, Australia",fruit,0.15
"Red Blends, Red Blends, Maule Valley, Central Valley, Chile",herb,0.08
"Cabernet Sauvignon, Inland Valleys, California, USA",fruit,0.12
"Red Blends, Red Blends, Sierra Foothills, California, USA",fruit,0.11
"White Blend, Columbia Valley, Washington, USA",ripe,0.06
"Chardonnay, Mendocino, North Coast, California, USA",lactic,0.10
"Bordeaux-style Red Blend, San Francisco Bay, Central Coast, California, USA",blackberry,0.05
"Red Blends, Red Blends, Coastal Region, South Africa",berry,0.08
"Viognier, Mendoza, Argentina",minerality,0.08
"Cabernet Franc, Finger Lakes, New York, USA",ripe,0.12
"Cabernet Franc, Anjou-Saumar, Loire Valley, France",ripe,0.13
"Merlot, Southern Oregon, Oregon, USA",cherry,0.17
"Red Blends, Red Blends, Mendoza, Argentina",ripe,0.06
"Riesling, Marlborough, New Zealand",ripe,0.09
"Riesling, Central Otago, New Zealand",flower,0.15
"Pinot Noir, Champagne, France",ripe,0.19
"Syrah, Northern Rhone, Rhone Valley, France",pepper,0.07
"Chardonnay, Napa Valley, North Coast, California, USA",flower,0.06
"Red Blends, Red Blends, Thracian Valley, Bulgaria",plum,0.06
"Chardonnay, Galilee, Israel",apple,0.10
"Syrah, Galilee, Israel",flower,0.11
"Grenache, Paso Robles, Central Coast, California, USA",strawberry,0.09
"Red Blends, Red Blends, South Australia, Australia",ripe,0.07
"Bordeaux-style Red Blend, Maipo Valley, Central Valley, Chile",ripe,0.10
"Chardonnay, Willamette Valley, Oregon, USA",oak,0.14
"Red Blends, Red Blends, Galilee, Israel",flower,0.15
"Pinot Noir, Cote Chalonnaise, Burgundy, France",ripe,0.26
"Pinot Noir, Maule Valley, Central Valley, Chile",raspberry,0.10
"Pinot Noir, Columbia Valley, Oregon, USA",strawberry,0.09
"Tempranillo, Castilla and Leon, Northwest Spain, Spain",earth,0.06
"Friulano, Italian White, Friuli-Venezia Giulia, Northeast Italy, Italy",toasted_nut,0.07
"Grenache, Southern Rhone, Rhone Valley, France",cherry,0.08
"Bordeaux-style Red Blend, Columbia Valley, Washington, USA",herb,0.11
"Petite Sirah, Inland Valleys, California, USA",smoke,0.11
"Red Blends, Red Blends, San Francisco Bay, Central Coast, California, USA",cherry,0.12
"Merlot, Tuscany, Central Italy, Italy",toast,0.11
"Pinot Noir, Burgenland, Austria",juicy,0.07
"Cabernet Franc, Long Island, New York, USA",ripe,0.12
"Syrah, San Francisco Bay, Central Coast, California, USA",fruit,0.09
"Malbec, Salta, Argentina",flower,0.07
"Red Blends, Red Blends, Long Island, New York, USA",cherry,0.15
"White Blend, Castilla-La Mancha, Central Spain, Spain",minerality,0.08
"Cabernet Sauvignon, Southern Oregon, Oregon, USA",herb,0.15
"Chardonnay, San Francisco Bay, Central Coast, California, USA",lemon,0.07
"Cabernet Sauvignon, Napa Valley, North Coast, California, USA",juicy,0.07
"Chardonnay, Jura, Burgundy, France",toast,0.13
"Riesling, Michigan, USA",pineapple,0.08
"Sauvignon Blanc, Finger Lakes, New York, USA",ripe,0.09
"White Blend, Macedonia, Greece",flower,0.10
"Malbec, Southwest France, France",ripe,0.12
"Syrah, San Luis Obispo, Central Coast, California, USA",boysenberry,0.09
"Pinot Noir, Mendocino, North Coast, California, USA",cherry,0.15
"Verdicchio, Italian White, Le Marche, Central Italy, Italy",acacia,0.07
"Pinot Noir, San Benito, Central Coast, California, USA",earth,0.15
"Red Blends, Red Blends, Sonoma Valley, North Coast, California, USA",fruit,0.11
"Gruner Veltliner, Finger Lakes, New York, USA",flower,0.09
"Cabernet Franc, Virginia, USA",red_currant,0.09
"Viognier, Sonoma Valley, North Coast, California, USA",steel,0.10
"Chardonnay, San Luis Obispo, Central Coast, California, USA",salinity,0.07
"White Blend, Sierra Foothills, California, USA",pear,0.12
"Merlot, Long Island, New York, USA",ripe,0.10
"Syrah, Casablanca Valley, Aconcagua Region, Chile",ripe,0.10
"White Blend, Long Island, New York, USA",smoke,0.08
"Bordeaux-style Red Blend, Galilee, Israel",flower,0.15
"Gruner Veltliner, Burgenland, Austria",pear,0.13
"Chardonnay, British Columbia, Canada",lactic,0.11
"White Blend, Coastal Region, South Africa",fruit,0.10
"Grenache, Sonoma Valley, North Coast, California, USA",strawberry,0.12
"Red Blends, Red Blends, Douro Valley, Portugal",leather,0.11
"Tempranillo, Columbia Valley, Washington, USA",smoke,0.08
"Negroamaro, Italian Red, Puglia, Southern Italy, Italy",cherry,0.11
"Syrah, Columbia Valley, Washington, USA",spice,0.05
"Chardonnay, Mendoza, Argentina",oak,0.09
"Austrian white blend, White Blend, Burgenland, Austria",spice,0.08
"Malbec, Sonoma Valley, North Coast, California, USA",oak,0.08
"Pinot Noir, Nelson, New Zealand",oak,0.11
"Syrah, Coastal Region, South Africa",spice,0.08
"Frappato, Italian Red, Sicily, Southern Italy, Italy",rose,0.14
"Cabernet Franc, Touraine, Loire Valley, France",ripe,0.15
"Cabernet Sauvignon, Columbia Valley, Washington, USA",herb,0.10
"Pinot Noir, Bio-Bio Valley, South Region, Chile",wood,0.07
"Bordeaux-style Red Blend, South Australia, Australia",ripe,0.09
"Petite Sirah, Napa Valley, North Coast, California, USA",fruit,0.07
"Sauvignon Blanc, Monterey, Central Coast, California, USA",citrus,0.09
"Syrah, Monterey, Central Coast, California, USA",black_currant,0.10
"White Blend, Niederosterreich, Austria",ripe,0.13
"Cannonau, Grenache, Sardinia, Southern Italy, Italy",ripe,0.11
"Merlot, Finger Lakes, New York, USA",cherry,0.12
"Cabernet Sauvignon, Aconcagua Valley, Aconcagua Region, Chile",earth,0.08
"Sauvignon Blanc, Clear Lake, North Coast, California",grapefruit,0.08
"Red Blends, Red Blends, Provence, France",ripe,0.16
"Bordeaux-style Red Blend, Judea, Israel",plum,0.11
"Cabernet Sauvignon-Syrah, Red Blends, Columbia Valley, Washington, USA",herb,0.10
"Riesling, Nahe, Germany",minerality,0.10
"Tinto Fino, Tempranillo, Castilla and Leon, Northwest Spain, Spain",earth,0.08
"Pinot Grigio, Alsace, France",spice,0.15
"Cabernet Franc, Southern Oregon, Oregon, USA",fruit,0.09
"Grenache, South Australia, Australia",ripe,0.11
"Chardonnay, Breede River Valley",fruit,0.10
"Bordeaux-style Red Blend, Medoc, Bordeaux, France",fruit,0.19
"Syrah, Napa Valley, North Coast, California, USA",smoke,0.10
"Sauvignon Blanc, Santa Barbara, Central Coast, California, USA",apple,0.09
"White Blend, Alsace, France",fruit,0.12
"Vernaccia, Italian White, Tuscany, Central Italy, Italy",acacia,0.12
"Chardonnay, Catalunya, Northeast Spain, Spain",melon,0.11
"Sauvignon Blanc, Casablanca Valley, Aconcagua Region, Chile",tropical_fruit,0.06
"Bordeaux-style Red Blend, Mendoza, Argentina",ripe,0.06
"Sauvignon Blanc, Southern Oregon, Oregon, USA",grass,0.13
"Bordeaux-style Red Blend, Coastal Region, South Africa",ripe,0.08
"Malbec, Colchagua Valley, Central Valley, Chile",oak,0.08
"Pinot Grigio, Friuli-Venezia Giulia, Northeast Italy, Italy",apple,0.09
"Petite Sirah, Columbia Valley, Washington, USA",oak,0.09
"Syrah, Sonoma Valley, North Coast, California, USA",fruit,0.07
"Syrah, Tuscany, Central Italy, Italy",blackberry,0.11
"Sauvignon Blanc, Touraine, Loire Valley, France",fruit,0.19
"Nebbiolo, Piedmont, Northwest Italy, Italy",rose,0.10
"Red Blends, Red Blends, La Rioja, Northeast Spain, Spain",berry,0.06
"Syrah, Alentejo, Portugal",ripe,0.23
"Red Blends, Red Blends, Alentejo, Portugal",perfumed,0.09
"Red Blends, Red Blends, Umbria, Central Italy, Italy",blue_flower,0.09
"Red Blends, Red Blends, Clear Lake, North Coast, California",ripe,0.09
"Pinot Noir, Monterey, Central Coast, California, USA",raspberry,0.08
"Cabernet Sauvignon, Paso Robles, Central Coast, California, USA",blackberry,0.12
"Red Blends, Red Blends, Burgenland, Austria",ripe,0.12
"Malbec, Southern Oregon, Oregon, USA",raspberry,0.09
"Sauvignon Blanc, Long Island, New York, USA",smoke,0.08
"Merlot, Colchagua Valley, Central Valley, Chile",cherry,0.08
"Sauvignon Blanc, Centre, Loire Valley, France",fruit,0.16
"Merlot, Hawkes Bay, New Zealand",herb,0.11
"Pinot Noir, Southern Oregon, Oregon, USA",cherry,0.11
"Viognier, Sierra Foothills, California, USA",flower,0.12
"Montepulciano, Italian Red, Abruzzo, Central Italy, Italy",ripe,0.11
"Red Blends, Red Blends, Campania, Southern Italy, Italy",berry,0.08
"Riesling, Mendocino, North Coast, California, USA",fruit,0.08
"Pinot Grigio, Central Otago, New Zealand",fruit,0.07
"Cabernet Sauvignon-Malbec, Bordeaux-style Red Blend, Mendoza, Argentina",fruit,0.08
"Viognier, Paso Robles, Central Coast, California, USA",ripe,0.11
"Riesling, Mosel, Germany",smoke,0.06
"Pinot Noir, Napa-Sonoma, North Coast, California, USA",cherry,0.07
"Cabernet Sauvignon, South Coast, California, USA",oak,0.06
"Bordeaux-style White Blend, White Blend, Bourg & Blaye, Bordeaux, France",ripe,0.14
"Cabernet Sauvignon, Colchagua Valley, Central Valley, Chile",berry,0.06
"Pinot Grigio, Willamette Valley, Oregon, USA",pear,0.08
"Petite Sirah, Clear Lake, North Coast, California",blackberry,0.08
"Red Blends, Red Blends, Macedonia, Greece",cherry,0.10
"Sauvignon Blanc, San Antonio Valley, Aconcagua, Chile",vegetal,0.09
"Viognier, Northern Rhone, Rhone Valley, France",oak,0.12
"Cabernet Sauvignon, Mendoza, Argentina",earth,0.05
"Merlot, Maule Valley, Central Valley, Chile",berry,0.10
"Pinot Noir, Centre, Loire Valley, France",fruit,0.18
"Chardonnay, Hawkes Bay, New Zealand",ripe,0.12
"Pinot Grigio, Southern Oregon, Oregon, USA",pear,0.14
"Malbec, Columbia Valley, Washington, USA",plum,0.11
"Sauvignon Blanc, Sonoma Valley, North Coast, California, USA",grass,0.08
"Chardonnay, Inland Valleys, California, USA",fruit,0.12
"Merlot, Columbia Valley, Washington, USA",cherry,0.08
"Shiraz-Viognier, South Australia, Australia",raspberry,0.09
"Sauvignon Blanc, Friuli-Venezia Giulia, Northeast Italy, Italy",tropical_fruit,0.09
"Red Blends, Red Blends, Le Marche, Central Italy, Italy",fruit,0.10
"Sauvignon Blanc, South Australia, Australia",lime,0.08
"Cabernet Sauvignon, South Australia, Australia",ripe,0.08
"Riesling, Finger Lakes, New York, USA",ripe,0.07
"Grenache, Columbia Valley, Washington, USA",raspberry,0.14
"Malbec, San Juan, Argentina",earth,0.09
"Sauvignon Blanc, Maipo Valley, Central Valley, Chile",apple,0.06
"Tempranillo, Southern Oregon, Oregon, USA",fruit,0.10
"Red Blends, Red Blends, Castilla-La Mancha, Central Spain, Spain",berry,0.08
"Chardonnay, Champagne, France",fruit,0.15
"Cabernet Sauvignon, Columbia Valley, Oregon, USA",oak,0.09
"Sauvignon Blanc-Semillon, White Blend, Western Australia, Australia",ripe,0.07
"Cabernet Sauvignon, San Francisco Bay, Central Coast, California, USA",oak,0.08
"Grenache, Catalunya, Northeast Spain, Spain",flower,0.07
"Viognier, South Australia, Australia",ripe,0.10
"Riesling, Columbia Valley, Washington, USA",lime,0.07
"Cabernet Sauvignon, Long Island, New York, USA",vanilla,0.07
"Tempranillo Blend, Tempranillo, Navarra, Northeast Spain, Spain",leather,0.09
"Sauvignon Blanc, Southwest France, France",herb,0.13
"Gros and Petit Manseng, White Blend, Southwest France, France",ripe,0.22
"Viognier, Southern Oregon, Oregon, USA",flower,0.11
"Pinot Grigio, Veneto, Northeast Italy, Italy",peach,0.09
"Ribolla Gialla, Italian White, Friuli-Venezia Giulia, Northeast Italy, Italy",flower,0.14
"Riesling, South Australia, Australia",citrus,0.10
"Tokaji, White Blend, Tokaj, Hungary",flower,0.12
"Merlot, San Francisco Bay, Central Coast, California, USA",fruit,0.12
"Zinfandel, Napa Valley, North Coast, California, USA",juicy,0.09
"Pinot Grigio, Finger Lakes, New York, USA",lemon,0.07
"Red Blends, Red Blends, Valencia, Northeast Spain, Spain",flower,0.06
"Chardonnay, Lombardy, Northwest Italy, Italy",bread_crust,0.10
"Syrah, Sierra Foothills, California, USA",fruit,0.12
"Chardonnay, San Antonio, Aconcagua Region, Chile",apple,0.10
"Bordeaux-style White Blend, White Blend, Columbia Valley, Washington, USA",fruit,0.11
"Grillo, Italian White, Sicily, Southern Italy, Italy",fruit,0.08
"SpÃ¤tburgunder, Pinot Noir, Baden, Germany",ripe,0.09
"Cabernet Franc, Sierra Foothills, California, USA",ripe,0.16
"Chardonnay, Maule Valley, Central Valley, Chile",oak,0.10
"Chardonnay, Cote Chalonnaise, Burgundy, France",fruit,0.21
"Syrah, Paso Robles, Central Coast, California, USA",cherry,0.07
"Syrah, Mendocino, North Coast, California, USA",earth,0.09
"Pinot Noir, San Francisco Bay, Central Coast, California, USA",raspberry,0.07
"Sauvignon Blanc, Paso Robles, Central Coast, California, USA",apple,0.11
"Aglianico, Italian Red, Basilicata, Southern Italy, Italy",blue_flower,0.09
"Provence red blend, Red Blends, Provence, France",ripe,0.15
"Chardonnay, Burgenland, Austria",toast,0.07
"Sangiovese, Columbia Valley, Washington, USA",cherry,0.08
"Sauvignon Blanc, Wairarapa, New Zealand",herb,0.08
"Pinot Noir, San Luis Obispo, Central Coast, California, USA",plum,0.07
"Sauvignon Blanc, Marlborough, New Zealand",herb,0.07
"Cabernet Sauvignon, Catalunya, Northeast Spain, Spain",fruit,0.07
"White Blend, Burgenland, Austria",honey,0.09
"Zinfandel, Sierra Foothills, California, USA",ripe,0.15
"Riesling, Rheingau, Germany",minerality,0.06
"Greco, Italian White, Campania, Southern Italy, Italy",ripe,0.10
"Cabernet Franc, Napa Valley, North Coast, California, USA",herb,0.09
"Pinot Noir, Columbia Valley, Washington, USA",earth,0.11
"Red Blends, Red Blends, Sardinia, Southern Italy, Italy",savory,0.09
"Pinot Noir, Marlborough, New Zealand",ripe,0.06
"Cabernet Sauvignon, Western Australia, Australia",fruit,0.09
"Red Blends, Red Blends, Niederosterreich, Austria",blueberry,0.08
"Gruner Veltliner, Niederosterreich, Austria",fruit,0.10
"Pinot Noir, Central Otago, New Zealand",fruit,0.08
"Pinot Noir, Finger Lakes, New York, USA",ripe,0.14
"White Blend, Friuli-Venezia Giulia, Northeast Italy, Italy",oak,0.09
"Alsace white blend, White Blend, Alsace, France",pear,0.08
"Chardonnay, Trento, Northeast Italy, Italy",flower,0.11
"Sauvignon Blanc, Curico Valley, Central Valley, Chile",melon,0.07
"Austrian Red Blend, Red Blends, Burgenland, Austria",fruit,0.10
"Bordeaux-style Red Blend, Paso Robles, Central Coast, California, USA",plum,0.10
"Chardonnay, Columbia Valley, Washington, USA",oak,0.11
"Merlot, Inland Valleys, California, USA",smoke,0.15
"Bordeaux-style White Blend, White Blend, Sauternais, Bordeaux, France",botrytis,0.12
"Tempranillo, Castilla-La Mancha, Central Spain, Spain",berry,0.06
"Cabernet Franc, Sonoma Valley, North Coast, California, USA",juicy,0.09
"Viognier, Virginia, USA",apple,0.08
"Shiraz-Cabernet Sauvignon, Red Blends, South Australia, Australia",berry,0.09
"Pinot Noir, Alsace, France",ripe,0.16
"Red Blends, Red Blends, Maipo Valley, Central Valley, Chile",herb,0.12
"Tempranillo Blend, Tempranillo, Castilla and Leon, Northwest Spain, Spain",earth,0.08
"Vermentino, Italian White, Sardinia, Southern Italy, Italy",tropical_fruit,0.11
"Bordeaux-style Red Blend, Napa Valley, North Coast, California, USA",fruit,0.07
"Pinot Noir, Cote de Beaune, Burgundy, France",ripe,0.25
"Bordeaux-style Red Blend, Southwest France, France",ripe,0.19
"Petite Sirah, San Francisco Bay, Central Coast, California, USA",fruit,0.11
"Cabernet Sauvignon, Finger Lakes, New York, USA",cherry,0.08
